"","es_score","brier_score","location","target_date","X21L_50_CI","X22A_50_CI","X22D_50_CI","X22E_50_CI","other_50_CI","X22B_50_CI","X21L_95_CI","X22A_95_CI","X22D_95_CI","X22E_95_CI","other_95_CI","X22B_95_CI"
"1",NA,NA,"AK",2022-09-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,"AK",2022-09-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",NA,NA,"AK",2022-09-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",0.0166277007823988,0.0228544458951816,"AK",2022-09-14,1,1,1,1,1,1,1,1,1,1,1,1
"5",NA,NA,"AK",2022-09-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",0.055755981818745,0.0226518480245708,"AK",2022-09-16,1,1,1,1,1,1,1,1,1,1,1,1
"7",0.01515351042436,0.0226211037116364,"AK",2022-09-17,1,1,1,1,1,1,1,1,1,1,1,1
"8",0.0537901699606673,0.022644737009209,"AK",2022-09-18,1,1,1,1,1,1,1,0,1,1,1,0
"9",0.187547257052431,0.0227295468544201,"AK",2022-09-19,1,1,1,1,1,1,1,0,1,1,1,0
"10",NA,NA,"AK",2022-09-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",0.0146630328753687,0.023116514082862,"AK",2022-09-21,1,1,1,1,1,1,1,1,1,1,1,1
"12",NA,NA,"AK",2022-09-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",0.0178901550818968,0.0238666981965954,"AK",2022-09-23,1,1,1,1,1,1,1,1,1,1,1,1
"14",NA,NA,"AK",2022-09-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",NA,NA,"AK",2022-09-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",0.301976549678351,0.0259486483993415,"AK",2022-09-26,1,1,1,1,1,1,1,1,1,1,1,1
"17",NA,NA,"AK",2022-09-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",0.0184712554317158,0.0282468734463356,"AK",2022-09-28,1,1,1,1,1,1,1,1,1,1,1,1
"19",NA,NA,"AK",2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",NA,NA,"AK",2022-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",NA,NA,"AK",2022-10-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",0.0257136976317666,0.0363916472238033,"AK",2022-10-02,1,1,1,1,1,1,1,1,1,1,1,1
"23",0.882376957891897,0.799980965485888,"AK",2022-10-03,1,0,1,1,1,1,1,1,1,1,1,1
"24",1.06534604108196,1.52612467757873,"AK",2022-10-04,1,1,1,0,1,0,1,1,1,1,1,1
"25",1.08385549445723,1.54314484415876,"AK",2022-10-05,1,0,1,1,1,0,1,0,1,0,1,1
"26",NA,NA,"AK",2022-10-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
