"","es_score","brier_score","location","target_date","X22E_50_CI","X22F_50_CI","X23A_50_CI","X23B_50_CI","X23C_50_CI","X23D_50_CI","X23E_50_CI","X23F_50_CI","other_50_CI","X22E_95_CI","X22F_95_CI","X23A_95_CI","X23B_95_CI","X23C_95_CI","X23D_95_CI","X23E_95_CI","X23F_95_CI","other_95_CI"
"1",NA,NA,"AK",2023-06-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,"AK",2023-06-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",NA,NA,"AK",2023-06-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",NA,NA,"AK",2023-06-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,NA,"AK",2023-06-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,"AK",2023-06-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,NA,"AK",2023-06-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",NA,NA,"AK",2023-06-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",0.911893192144531,1.29632948576877,"AK",2023-06-19,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1
"10",NA,NA,"AK",2023-06-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",0.912778701966845,1.30066261965039,"AK",2023-06-21,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1
"12",NA,NA,"AK",2023-06-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",NA,NA,"AK",2023-06-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",NA,NA,"AK",2023-06-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",NA,NA,"AK",2023-06-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,"AK",2023-06-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",0.929040333604354,1.31814844816142,"AK",2023-06-27,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1
"18",NA,NA,"AK",2023-06-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",NA,NA,"AK",2023-06-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",NA,NA,"AK",2023-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
