"","es_score","brier_score","location","target_date","X21L_50_CI","X22B_50_CI","X22D_50_CI","X22E_50_CI","X22F_50_CI","X23A_50_CI","X23C_50_CI","other_50_CI","X21L_95_CI","X22B_95_CI","X22D_95_CI","X22E_95_CI","X22F_95_CI","X23A_95_CI","X23C_95_CI","other_95_CI"
"1",0.226307997827546,0.329778559992357,"AK",2023-01-15,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
"2",0.613270963152729,0.443799785145767,"AK",2023-01-16,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1
"3",1.82931350824238,0.518589192765346,"AK",2023-01-17,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1
"4",1.80775013530512,0.541557317071496,"AK",2023-01-18,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1
"5",0.610228123281187,0.548956166337863,"AK",2023-01-19,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
"6",2.10530899661659,0.48292027961937,"AK",2023-01-20,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1
"7",NA,NA,"AK",2023-01-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",0.23802890659449,0.511375506935173,"AK",2023-01-22,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
"9",0.933018367667468,0.552697337496805,"AK",2023-01-23,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
"10",2.84977741031065,0.663386278160234,"AK",2023-01-24,1,1,0,0,1,0,1,1,1,1,0,0,0,0,1,1
"11",2.21768154358911,0.763335959494318,"AK",2023-01-25,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0
"12",4.25955630400666,0.628237378356189,"AK",2023-01-26,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1
"13",0.831686564127892,0.635550963943934,"AK",2023-01-27,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1
"14",0.528753209357703,0.735734692224372,"AK",2023-01-28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"15",0.768402600201975,0.614749380097969,"AK",2023-01-29,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
"16",1.97535290560471,0.814067217247416,"AK",2023-01-30,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1
"17",0.757259213966126,0.507574109539208,"AK",2023-01-31,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1
"18",0.427615266924965,0.226671298897045,"AK",2023-02-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"19",0.866118705482117,0.448998215989877,"AK",2023-02-02,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
"20",0.926092226272063,0.705576344952883,"AK",2023-02-03,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1
"21",1.96227939427496,0.651940165341438,"AK",2023-02-04,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1
