"","es_score","brier_score","location","target_date","X22B_50_CI","X22E_50_CI","X22F_50_CI","X23A_50_CI","X23D_50_CI","other_50_CI","X22B_95_CI","X22E_95_CI","X22F_95_CI","X23A_95_CI","X23D_95_CI","other_95_CI"
"1",1.17822579943076,0.177168853818747,"AK",2023-02-12,1,1,1,0,1,1,1,0,1,0,1,1
"2",1.05802459561295,0.569380744854934,"AK",2023-02-13,1,1,1,1,1,1,0,0,1,0,1,1
"3",0.578062137626755,0.466591303720233,"AK",2023-02-14,1,1,1,1,1,1,1,0,1,0,1,1
"4",0.598340483287162,0.531117664520256,"AK",2023-02-15,1,1,1,1,1,1,1,0,1,0,1,1
"5",2.02378951339871,0.146134775773446,"AK",2023-02-16,1,0,1,0,1,1,1,0,1,0,0,1
"6",0.923236915217747,0.281809588793886,"AK",2023-02-17,1,1,1,1,1,1,1,1,1,1,1,1
"7",0.397328276830367,0.388445891414536,"AK",2023-02-18,1,1,1,1,1,1,1,0,1,0,1,1
"8",0.409958422536804,0.649685362427738,"AK",2023-02-19,1,1,1,1,1,1,0,1,1,0,1,1
"9",2.00954474030258,0.264067861350021,"AK",2023-02-20,1,1,1,0,1,1,1,1,1,1,1,1
"10",1.03841326792051,0.252732627886117,"AK",2023-02-21,1,1,1,1,1,1,1,0,1,0,1,1
"11",NA,NA,"AK",2023-02-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",0.851431731081124,0.107276157974577,"AK",2023-02-23,1,1,1,0,1,1,1,0,1,0,1,1
"13",0.873910090516543,0.805626155282536,"AK",2023-02-24,1,1,1,1,1,0,1,0,1,0,1,0
"14",NA,NA,"AK",2023-02-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",NA,NA,"AK",2023-02-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",0.0990730562811407,0.0925608847276381,"AK",2023-02-27,1,1,1,1,1,1,1,1,1,1,1,1
"17",NA,NA,"AK",2023-02-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",NA,NA,"AK",2023-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",NA,NA,"AK",2023-03-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",NA,NA,"AK",2023-03-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",NA,NA,"AK",2023-03-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",0.0930332754263705,0.0786620924985976,"AK",2023-03-05,1,1,1,1,1,1,1,0,1,0,1,1
"23",NA,NA,"AK",2023-03-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",NA,NA,"AK",2023-03-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",0.230209291274361,0.0747521788547539,"AK",2023-03-08,1,1,1,1,1,1,1,1,1,1,1,1
"26",0.0796388910886605,0.0738371960422492,"AK",2023-03-09,1,1,1,1,1,1,1,1,1,1,1,1
"27",NA,NA,"AK",2023-03-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",NA,NA,"AK",2023-03-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",NA,NA,"AK",2023-03-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",0.0815384768840072,0.0719317115174251,"AK",2023-03-13,1,1,1,1,1,1,1,1,1,1,1,1
"31",NA,NA,"AK",2023-03-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",0.0855420730508266,0.0719597730423737,"AK",2023-03-15,1,1,1,1,1,1,1,1,1,1,1,1
