"","es_score","brier_score","location","target_date","X23A_50_CI","X23B_50_CI","X23F_50_CI","X24A_50_CI","X23I_50_CI","other_50_CI","X23A_95_CI","X23B_95_CI","X23F_95_CI","X24A_95_CI","X23I_95_CI","other_95_CI"
"1",NA,NA,"AK",2023-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,"AK",2024-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",NA,NA,"AK",2024-01-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",NA,NA,"AK",2024-01-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",0.256477189462295,0.352380883494544,"AK",2024-01-04,1,1,1,1,1,1,1,0,1,0,1,1
"6",0.776655646804386,0.572512883240754,"AK",2024-01-05,1,1,1,1,1,1,0,1,0,0,1,1
"7",NA,NA,"AK",2024-01-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",NA,NA,"AK",2024-01-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",0.251497701083695,0.329182630360062,"AK",2024-01-08,1,1,1,1,1,1,1,0,1,0,1,1
"10",1.00198773937692,0.324343617787946,"AK",2024-01-09,1,1,1,0,1,1,1,0,1,0,0,1
"11",0.598670408722353,0.319877141304337,"AK",2024-01-10,1,1,1,1,1,1,1,0,1,0,1,1
"12",0.226295680015927,0.31577894133364,"AK",2024-01-11,1,1,1,1,1,1,1,1,1,0,1,0
"13",NA,NA,"AK",2024-01-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",NA,NA,"AK",2024-01-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",NA,NA,"AK",2024-01-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",0.601523873352126,0.924315053834468,"AK",2024-01-15,1,1,0,1,1,1,1,0,0,1,1,1
"17",0.212726414026004,0.300731692204849,"AK",2024-01-16,1,1,1,1,1,1,1,1,1,0,0,1
"18",0.922994894113119,0.298808915138413,"AK",2024-01-17,1,1,1,0,1,1,0,1,0,0,1,0
"19",0.671034366414092,0.685017878214727,"AK",2024-01-18,1,1,1,1,1,0,1,1,1,0,0,0
