"","es_score","brier_score","location","target_date","X24A_50_CI","X24B_50_CI","recombinant_50_CI","X24D_50_CI","other_50_CI","X24A_95_CI","X24B_95_CI","recombinant_95_CI","X24D_95_CI","other_95_CI"
"1",NA,NA,"AK",2024-04-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,"AK",2024-04-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",NA,NA,"AK",2024-04-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",NA,NA,"AK",2024-04-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,NA,"AK",2024-04-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,"AK",2024-04-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,NA,"AK",2024-04-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",NA,NA,"AK",2024-04-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",NA,NA,"AK",2024-04-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",NA,NA,"AK",2024-04-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",NA,NA,"AK",2024-04-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",NA,NA,"AK",2024-04-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",NA,NA,"AK",2024-04-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",NA,NA,"AK",2024-04-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",NA,NA,"AK",2024-04-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,"AK",2024-04-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,"AK",2024-04-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",NA,NA,"AK",2024-04-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",NA,NA,"AK",2024-04-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",NA,NA,"AK",2024-04-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",NA,NA,"AK",2024-04-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",NA,NA,"AK",2024-04-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",NA,NA,"AK",2024-04-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",NA,NA,"AK",2024-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",NA,NA,"AK",2024-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",0.0166783861891335,0.0374790933986365,"AK",2024-05-02,1,1,1,1,1,1,1,1,1,1
"27",NA,NA,"AK",2024-05-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",NA,NA,"AK",2024-05-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",NA,NA,"AK",2024-05-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",NA,NA,"AK",2024-05-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",NA,NA,"AK",2024-05-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",NA,NA,"AK",2024-05-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",NA,NA,"AK",2024-05-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",NA,NA,"AK",2024-05-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",NA,NA,"AK",2024-05-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",NA,NA,"AK",2024-05-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",NA,NA,"AK",2024-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",NA,NA,"AK",2024-05-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",NA,NA,"AK",2024-05-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",NA,NA,"AK",2024-05-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",NA,NA,"AK",2024-05-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
